number,lat,lng,name
15185,51.137258,17.048546,Kasprowicza / Syrokomli
15186,51.148528,17.020477,"Paprotna / Obornicka, zajezdnia MPK"
15187,51.14221,16.90591,"Kosmonautów / Fieldorfa, szpital wojewódzki"
15188,51.171074,16.902364,Stabłowicka 
15189,51.149606,16.938033,Mrągowska / Rolna
15190,51.109457,17.097924,Partyzantów / Okrzei
15191,51.089572,17.045321,Hubska / Prudnicka
15192,51.05864,17.05717,Jagodzińska / Buforowa
15193,51.103854,17.03678,Kołłątaja / Podwale
15194,51.071275,17.090906,Opolska / Siemianowicka
15195,51.11289,17.03971,Piaskowa / św. Ducha
15196,51.109433,16.969097,Klecińska / Duńska
15197,51.10823,17.02138,pl. Orląt Lwowskich
15198,51.09009,17.0235,Komandorska / Kamienna
15199,51.13707,16.94095,"Wrocław Stadion, stacja kolejowa"
15200,51.14323,16.86627,"Wrocław Leśnica, stacja kolejowa"
15251,51.12887567,17.04499841,Promenady Wrocławskie
15252,51.052723,16.968801,Centrum Handlowe Auchan Bielany
15253,51.048391,16.961699,Aleja Bielany
15254,51.129565,16.989853,Popowice
15255,51.05687,17.03236,Grota-Roweckiego/Iwaszkiewicza
15256,51.13197,17.11071,Kowalska/Lechitów
15257,51.15472,17.04376,Kamieńskiego
15258,51.165419,16.920266,Lubelska/Łukowska
15259,51.12776,17.10254,Kwidzyńska pętla
15260,51.09761,17.06855,Rakowiecka
15261,51.08,17.00773,Powstańców Śląskich/Orla
15262,51.103778,17.05155,Walońska (Angel Poland Group)
15263,51.09724,16.97512,Klecińska (Wrocław Grabiszyn)
15264,51.11805,16.94632,Rogowska/Sukielicka
15265,51.13863,16.97735,Kozanowska/Pałucka
15266,51.07236,17.04294,Piławska
15267,51.14518,17.11679,Gorlicka/Stanety
15268,51.1277,17.11456,3M
15269,51.07814,17.07026,Gazowa / Międzyleska
15270,51.13894,17.02028,Bezpieczna/Jugosławiańska
15271,51.1052,17.02123,Piłsudskiego 13 od Jump Hall
15272,51.07217,17.05281,Bardzka (cmentarz)
15273,51.11251,16.978385,Otyńska
